CellID,AHP,AP height,AP1-AP2int,AP9-AP10int,Adaptation,Halfwidth,Latency,Max dV/dt,Max firing freq,Membrane capacitance,Membrane resistance,Membrane time constant,Min dV/dt,Min latency,Rheobase,Sag Ratio,TH,Vm,dV/dt ratio,mAHP,minISI,staining
170126_5,12.3291015625,47.454833984375,30.8,61.29055793991416,1.014904223434912,0.857389923204957,74.65,7.537841796875,4.0,92.3164916943521,59.1278076171875,5.3,-3.35693359375,36.05,1040.0,0.970666666666666,-11.260986328125,-81.9808959960937,2.24545454545454,0.640869140625,30.8,WFS1
170127_10,19.134521484375,60.6689453125,69.35,67.85,1.03351104341203,0.792121769167762,200.4,12.054443359375,31.0,72.920338028169,57.220458984375,3.95,-4.852294921875,53.1,400.0,0.881067961165048,-28.472900390625,-66.9418334960937,2.48427672955974,3.47900390625,25.8,WFS1
170127_8,15.655517578125,76.812744140625,101.45,70.55,0.79403489026449,0.805957594291758,201.05,17.059326171875,49.0,126.788601307189,120.162963867187,11.1,-5.157470703125,201.05,80.0,0.600667408231368,-35.125732421875,-59.6435546875,3.3076923076923,3.814697265625,8.3,WFS1
170222_3,15.81397441701686,64.30175711166986,85.45,86.15,0.918443496801706,0.805846154950265,149.45,12.93279104320768,35.0,110.51557770457843,217.514038085937,10.104914529914529,-5.2322841262088176,73.2,80.0,0.893942183759896,-33.05478336658883,-65.177001953125,3.6452876283336,2.3665539193660656,14.35,WFS1
170222_4,20.794677734375,81.0302734375,106.1,106.0,1.35463258785942,0.749674667596966,76.45,20.281982421875,55.0,102.003725281735,201.72119140625,18.3,-5.322265625,76.45,40.0,0.923308774279973,-33.45947265625,-54.1085815429687,3.81077981651376,0.7080078125,8.3,WFS1
170228_4,22.3083477020263,66.6198711395263,70.35,65.75,1.02334630350194,0.518958392841254,139.25,19.0734848976135,104.0,75.5904890040459,153.732347488403,7.8,-7.47680616378784,139.25,120.0,0.866572986858492,-28.1677227020263,-62.0956394195556,2.55102037952936,2.349853515625,5.8,WFS1
170310_1,17.98095703125,73.016357421875,62.95,47.9,0.896164639850327,0.683624668646906,340.1,15.240478515625,45.0,107.913117483811,142.898559570312,13.35,-5.65185546875,117.75,120.0,0.908245656961096,-31.793212890625,-71.2298583984375,2.69654427645788,4.656982421875,8.8,WFS1
170310_3,22.4609336853027,60.9130840301513,45.4,47.5,1.11241217798594,0.514162248460813,50.7,14.4348135069012,89.0,44.0578209109533,237.655687332153,8.0,-7.17163038253784,50.7,40.0,0.802083314925903,-32.40966796875,-56.1294517517089,2.0127659593345,5.096435546875,3.15,WFS1
170310_4,18.682861328125,70.1904296875,53.6,40.15,0.870932754880694,0.575436392358494,253.55,13.97705078125,62.0,92.5106359189378,131.8359375,10.1,-6.756591796875,87.6,120.0,0.818160152526215,-37.39013671875,-61.9097900390625,2.06865401987353,0.1220703125,6.45,WFS1
170310_5,4.974365234375,84.051513671875,3.7,68.4,2.4516129032258,0.469430008977461,10.45,28.45458984375,11.0,37.8352164948453,128.7841796875,4.2,-8.69140625,2.85,160.0,0.907948647910407,-43.939208984375,-68.4048461914062,3.27387640449438,0.921630859375,3.15,WFS1
170310_7,14.410400390625,54.45556640625,38.75,37.85,1.07072135785007,0.703119724134935,123.1,9.222412109375,49.0,36.2036527621194,69.122314453125,2.45,-4.62646484375,36.05,880.0,0.938862761864044,-22.186279296875,-79.3159484863281,1.99340369393139,0.347900390625,17.45,WFS1
170310_8,25.3173828125,78.973388671875,50.05,72.25,1.1030534351145,0.530696540049293,137.7,25.811767578125,29.0,92.3416523061327,97.65625,6.95,-7.09228515625,48.15,360.0,0.801039861351819,-29.84619140625,-67.6541137695312,3.6394148020654,3.363037109375,25.75,WFS1
170313_2,24.932861328125,59.783935546875,54.45,56.95,1.01696428571428,0.620856347863483,145.5,13.7939453125,59.0,85.2908708133971,43.4112548828125,10.2,-5.548095703125,832.8,120.0,0.870379146919431,-28.91845703125,-67.4163818359375,2.48624862486248,1.11083984375,8.95,WFS1
